STATION,NAME,DATE,PRCP,SNWD,lat,long,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/21/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/22/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/23/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/24/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/25/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/26/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/27/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/28/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/29/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/30/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/1/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/2/2018,1,1,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/3/2018,0.7,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/4/2018,1.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/5/2018,0.6,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",10/6/2018,0.2,0,40.580755,-111.657296,,,,,
