STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,lat,long,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/10/2021,,,0.65,0.65,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/14/2021,,,1.37,1.37,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/15/2021,,,1.27,1.27,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/17/2021,,,0.25,0.25,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/23/2021,,,0.4,0.4,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/26/2021,3,2.41,0,0,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/27/2021,,,0.07,0.07,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/28/2021,,,0.73,0.73,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/29/2021,,,0.09,0.09,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/30/2021,,,0.33,0.33,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/1/2022,,,0.06,0.06,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/8/2022,,,0.05,0.05,39.1969822,-120.2431388,,,,,
US1CAFR0021,"SQUAW VALLEY 0.6 SE, CA US",1/4/2018,,,0.13,0.13,39.1969822,-120.2431388,,,,,
US1CAFR0021,"SQUAW VALLEY 0.6 SE, CA US",1/5/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0021,"SQUAW VALLEY 0.6 SE, CA US",1/6/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0021,"SQUAW VALLEY 0.6 SE, CA US",1/7/2018,,,0.03,0.03,39.1969822,-120.2431388,,,,,
